,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
3329,MITK,"Mitek Systems, Inc.",stocks,us,XNAS,CS,True,usd,0000807863,BBG000BP3D45,BBG001S5T6P3,2022-01-26T00:00:00Z
3330,MITQ,"Moving iMage Technologies, Inc.",stocks,us,XASE,CS,True,usd,0001770236,BBG011MHCWP3,BBG011MHCWQ2,2022-01-26T00:00:00Z
3331,MITT,"AG MORTGAGE INVESTMENT TRUST, INC.",stocks,us,XNYS,CS,True,usd,0001514281,BBG001KJLYZ7,BBG001V0PK00,2022-01-26T00:00:00Z
3332,MKC,"McCormick & Company, Incorporated Non-VTG CS",stocks,us,XNYS,CS,True,usd,0000063754,BBG000D1ZFQ2,BBG001S79S19,2022-01-26T00:00:00Z
3333,MKC.V,"McCormick & Company, Incorporated Voting CS",stocks,us,XNYS,CS,True,usd,0000063754,BBG000FJ52G4,BBG001SB2WB7,2022-01-26T00:00:00Z
3334,MKFG,Markforged Holding Corporation,stocks,us,XNYS,CS,True,usd,0001816613,BBG00X7WQC22,BBG00X7WQC31,2022-01-26T00:00:00Z
3335,MKL,Markel Corporation,stocks,us,XNYS,CS,True,usd,0001096343,BBG000FC7366,BBG001S9ZK95,2022-01-26T00:00:00Z
3336,MKSI,MKS Instruments Inc,stocks,us,XNAS,CS,True,usd,0001049502,BBG000BVMG26,BBG001SBB6Q8,2022-01-26T00:00:00Z
3337,MKTW,"MarketWise, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001805651,BBG00VWBGTZ2,BBG00VWBGV05,2022-01-26T00:00:00Z
3338,MKTX,MarketAxess Holdings Inc.,stocks,us,XNAS,CS,True,usd,0001278021,BBG000BJBZ23,BBG001S8R6K4,2022-01-26T00:00:00Z
3339,ML,MoneyLion Inc.,stocks,us,XNYS,CS,True,usd,0001807846,BBG00VHZZP65,BBG00VHZZP74,2022-01-26T00:00:00Z
3340,MLAB,Mesa Laboratories Inc,stocks,us,XNAS,CS,True,usd,0000724004,BBG000BP3PW7,BBG001S5T762,2022-01-26T00:00:00Z
3341,MLAC,Malacca Straits Acquisition Company Limited Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001807594,,,2022-01-26T00:00:00Z
3342,MLAI,McLaren Technology Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001851625,BBG012F73Z38,BBG012F73ZY4,2022-01-26T00:00:00Z
3343,MLI,"Mueller Industries, Inc.",stocks,us,XNYS,CS,True,usd,0000089439,BBG000C6W444,BBG001S6PVC4,2022-01-26T00:00:00Z
3344,MLKN,"MillerKnoll, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000066382,BBG000BP46T2,BBG001S5T771,2022-01-26T00:00:00Z
